ProcessName,Processpath,Module,Hash,Signature
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\gdi32full.dll,1B8346DF1321B42978B05936B57BAA1F3AE8262D87893D40E6C1C4CA5C1895FA,NULL
msdtc,C:\windows\System32\msdtc.exe,c:\windows\system32\IPHLPAPI.DLL,AF2440640BF8BDEAAF0DECDD7C354158E415ED0AA340ABA7A6CCCDC09C1E728B,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\kernel.appcore.dll,D4F178583F6F33794D42B4DB11008494E9CD9F069C2AD2CA304DA63F9B5F659C,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\KERNEL32.DLL,1E33D241F5B247E9B8FBA73967EDDDADA0B197E9577334BBC5548EA9D802E3D8,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\KERNELBASE.dll,B912E8D775359012DAF561051D21CCF838B54BD3519F71E6BCD6CB7C5AB8C848,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\ktmw32.dll,43F8F1D2B1C7B1085736899A2B0CB2CF931962E457A8AD4345181F8262818A99,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\msdtc.exe,72DB45CA11FE635DF9F8273C38CBEFB8DF5362ADA0CBF6D2B1E570365DC700C0,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\MSDTCLOG.dll,DF7BC9A475AD4D1B26312F6389CF8BB9FA2FDD9B1C8BA94B6B83229923A92F8B,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\MSDTCPRX.dll,A2F99DF27029E5BF061308B9A06D3F48A9378E3FF469DCA6EE6E5D226441D195,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\MSDTCTM.dll,D4856F324271D18F726E5208AF3F416924ADB46047B179BF38B7A2828B374293,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\msdtcVSp1res.dll,65478D14913B868CC70941FFAF5F06D74E4D6A4FA3913996ACC63323E54953FC,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\msvcp_win.dll,959A084ED6B3897591981AD3606FC04DB7ECDDF479AECA3EC5A3368663FFFD1B,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\msvcrt.dll,C693DA0EF4DCF3BC244661B9FD280FE12C3053FDD7B977712C0CF210831B2EF4,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\system32\mswsock.dll,C4764716D257C1E038F34DC6F2AAAB1381C872BE7C896F79352354DF9A23E407,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\MTXCLU.DLL,9516D5074552392C5D76D1C873BECD7C625C4D9F8BC688448D5D5732FBB3513B,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\system32\mtxoci.dll,183C673E992B6ED18A073CBBB03CDD821F80772E9496C044BBBD1882DAFE2D52,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\system32\netutils.dll,A931C54C47B454407990241DB12BD209AC219C55F026ADDED427A9E84A409923,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\NSI.dll,86BA1A56A2F557D9159226840786E27F4E311A22B91C00A76E416F43306C5D19,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\SYSTEM32\ntdll.dll,768B03B5FFD542E935D0F0F50809349147392FCA81D836A57F875DDB84875C3C,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\SYSTEM32\ntmarta.dll,20F0A4D99C5095A0CAC39B816BFC987F64CD051843C79E027714666375986176,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\ole32.dll,1EF1C63A3844EB12EC10C9F0CEED6AD2331FF239FD5D514D17459D4B4ADE86AB,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\OLEAUT32.dll,F0D9B6E41F9505090EB41AB540A77421B51412DBC4391250A5ED335A51BEE4E9,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\RESUTILS.DLL,7DBEFFEC9E81947975D46F9433E3EB91D88D089997585AEBE7E97F91825CC84B,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\RPCRT4.dll,D193474F16FEEE6291F6B55BFE5CACED0EA8CD0D1BF3805EC4313601FB9D30F8,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\sechost.dll,17EA4904C5CA0E05066DBEDE2B16E16F9A3FC1993AC50D1C3DF8BD75E7A8C7F0,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\system32\sspicli.dll,60558CA374334D4C6BBAD475921538C14A9FF3422893348A0503C1F33015FD25,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\ucrtbase.dll,D188F70EE6335141BDE6923C631FDB0DFBBCBD06E225131AAE6151492AB0B340,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\USER32.dll,D0ACC3B74F413BCAA0D5570CEEF1C80DD40AB7597CCBAD1B87B16F48C6979A7B,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\win32u.dll,7AB410C10BE2A2C3D46BCCD878D398DFFBF2116D1AB8A5106CBBE1F9D06931E3,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\WINMM.dll,2B5BC3C0A6514356C6719298FC25D8D192A2C973EE3283EF48379D2745C9BD87,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\WINMMBASE.dll,75ECAE23C920D81614BA5C0648377C2FC04C7379FD6A388C244A81F50AAB7B1C,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\wkscli.dll,C3331CCBE71CC98A5F1BC013F1C0218FE194CA7B497DDF706BF9025AB5A7B330,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\WS2_32.dll,7D893A42A660436263DE713987BB1E81D6D38C00460F93206CBB8777C4002C7E,NULL
msdtc,C:\windows\System32\msdtc.exe,C:\windows\System32\XOLEHLP.dll,96CEDD197F8924231CEA804F689B00E0D570E2D88B7F0451D478A6C2E4C7DCEF,NULL
powershell,C:\windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1812.3-0\MPCLIENT.DLL,3572DA02EC9E04CAB7EF36CEB6BFA558C535E05397624A5D5E5C783AB1562E58,NULL
powershell,C:\windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1812.3-0\MpOav.dll,DE4773F103B1CD272809F6310A318C299D12556763B8C0F92AC5516E66F38549,NULL
