Process,Processpath,DLL,DllHash,Signature
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\cryptdll.dll,BB548B91A3E92D570180EA91462ACDB941297E341DAF08267E8693C716225E03,NULL
lsass,C:\windows\system32\lsass.exe,C:\Windows\System32\cryptnet.dll,BF428B2B5C2686A5B631DC055BFDD11AF605FA9C0202D2E941DA10307B6301FA,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\System32\CRYPTSP.dll,78D6A1CD068F5DE2A3DE7F83A975667FA332AA65EC59DD5991CEA1D021BD47C5,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\DNSAPI.dll,96D581035FF077D1B44BCBBC7F0671579501ADB6637646483BB980E57C07FA51,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\DPAPI.dll,0D1488B2FF471C1EF2F8F2742D685A8778B2C1512A044BDF2606C3ED92E0B512,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\dpapisrv.dll,EA4AB615741EC548A62A3BB2BE5CC65B8A20F06E242333E1D51D5E809AA73C29,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\dsparse.dll,67ACD93C7961EB8F5C5DFBE8988881D3A930BFCCA5FA230CE9183A652899FECD,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\DSROLE.dll,29E646F85BF2BBB4548C3F240C5440DE79D7D2FEA9A3F6C4FD161C52AAE1F5F8,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\dssenh.dll,80E58D478BD48E7E8558CABB0FA337405128612FD983EAB41C0925AABA995A8E,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\efslsaext.dll,2927687CC6C64D700CA7F2A9F1C35C60879A0660FA11BC91E18E884AD7B02FE6,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\gmsaclient.dll,82650DC54E2F41CC50AF59561A4ED1F240EB5F828CF9710C2162C27E86481D68,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\gpapi.dll,D38C9148A104820805028C2613B67FC9876DF5D9FE06DEF2AF4ECECCCE8FB558,NULL
lsass,C:\windows\system32\lsass.exe,c:\windows\system32\IPHLPAPI.DLL,0ECEB84EDC1DD0D456048CFAE5970DCF0B3083CEC2462AB6BD60632F151E298F,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\SYSTEM32\JoinUtil.dll,2D36698D24277F8DD85AB30F6F91D2C0B81BE0B8036140A7890D4ABE3FF7033A,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\KDCPW.DLL,9C161E12CF2A4B69D37BDC50888BFD576277B537A9C21638D4A1388F993706B6,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\KerbClientShared.dll,5B6EC3C933668A74EF2F1A53AFDE154C397AD00888EBF77BE4DB5085687E48C1,NULL
lsass,C:\windows\system32\lsass.exe,C:\windows\system32\kerberos.DLL,74DEBCC55EC4DD0D2979F5A94195066B6C5F4908B14530DC7EAF24DAE01A6893,NULL
